SeriesName,Location,DayOfWeek,Category,OriginalAuthor,LessonSeq,RecordingDate,Serial,SubTopic,TelegramFileName,Type,Topic,DateInArabic,ClipLength,doubtsStatus
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,7,2025-12-24,التاسع والعشرون,كتاب التوحيد,AUDIO-2025-12-24-17-02-49.m4a,Series,Not Available,٣ / ٧ /١٤٤٧,08:16,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,8,2025-12-31,Not Available,كتاب التوحيد,AUDIO-2025-12-30-18-50-52.m4a,Series,Not Available,١٠ /٧/ ١٤٤٧,11:27,Serial number not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,1,2025-10-13,الأول من أول,كتاب الطهارة,Mp3 Editor_251013152911.mp3,Series,Not Available,٢٨ / ٣ / ١٤٤٧,46:46,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,2,2025-12-08,الثاني من كتاب الصلاة,كتاب الصلاة بجامع الورود,Mp3 Editor_251208205847.mp3,Series,Not Available,٩ / ٦ / ١٤٤٧,42:51,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,3,2025-12-08,الثالث من كتاب الصلاة,كتاب الصلاة بجامع الورود,Mp3 Editor_251208210432.mp3,Series,Not Available,١٠ / ٦ / ١٤٤٧,33:27,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,4,2025-12-22,السابع من كتاب الصلاة,كتاب الصلاة بجامع الورود,AUDIO-2025-12-22-14-05-29.m4a,Series,Not Available,١ /٧ /١٤٤٧,42:29,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,5,2025-12-22,السادس من كتاب الصلاة,كتاب الصلاة بجامع الورود,AUDIO-2025-12-22-17-23-19.m4a,Series,Not Available,٢٤ /٦ /١٤٤٧,50:34,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,6,2025-12-22,الثامن من كتاب الصلاة,كتاب الصلاة بجامع الورود,AUDIO-2025-12-22-17-31-28.m4a,Series,Not Available,٢ /٧ /١٤٤٧,29:39,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,7,2026-01-19,الحادي عشر من كتاب الصلاة,كتاب الصلاة بجامع الورود,AUDIO-2026-01-18-20-40-12.m4a,Series,Not Available,٢٩ /٧ /١٤٤٧,32:54,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,8,2026-01-19,الثاني عشر من كتاب الصلاة,كتاب الصلاة بجامع الورود,AUDIO-2026-01-19-18-59-34.m4a,Series,Not Available,٣٠ /٧ /١٤٤٧,29:30,none
الملخص شرح كتاب التوحيد,جامع الورود,Sunday,Aqeedah,صالح الفوزان,1,2025-10-26,الثالث عشر,كتاب التوحيد,Mp3 Editor_251026022439.mp3,Series,Not Available,Not Available,09:45,Arabic date not found
الملخص شرح كتاب التوحيد,جامع الورود,Sunday,Aqeedah,صالح الفوزان,2,2025-11-30,السابع عشر,كتاب التوحيد,Mp3 Editor_251129225126.mp3,Series,Not Available,١٨ / ٥ / ١٤٤٧,10:17,none
الملخص شرح كتاب التوحيد,جامع الورود,Sunday,Aqeedah,صالح الفوزان,3,2025-12-28,Not Available,كتاب التعليقات البهية على الرسائل العقدية) بجامع الورود,AUDIO-2025-12-27-19-33-23.m4a,Series,Not Available,٧ /٧/ ١٤٤٧,1:04,Serial number not found
الملخص شرح كتاب التوحيد,جامع الورود,Sunday,Aqeedah,صالح الفوزان,4,2025-12-28,الثلاثون,كتاب التوحيد,AUDIO-2025-12-28-19-47-31.m4a,Series,Not Available,٨ /٧/ ١٤٤٧,09:14,none
الملخص شرح كتاب التوحيد,جامع الورود,Sunday,Aqeedah,صالح الفوزان,5,2026-01-11,Not Available,كتاب والسنة ؛ ومن ذلكم ما يلي:,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Serial number not found; Arabic date not found
الملخص شرح كتاب التوحيد,جامع الورود,Sunday,Aqeedah,صالح الفوزان,6,2026-01-11,Not Available,كتاب الله ، وسنة نبيه صلى الله عليه وسلم ؛ وما كان عليه سلفنا الصالحين ؛ أوردت بعضها دلالةً على غيرها ؛ وأسأل الله أن يعظّم الإيمان في قلوبنا ، ومنهج أهل السنة والجماعة في أفعالنا ، اللهم اجعلنا من الدعاة إليك بعلمٍ واخلاصٍ وحكمة ؛ ولا تزغ قلوبنا عن الحق بعد إذ هديتنا إليه ؛ اللهم اجعل خير أعمالنا أواخرها ، وخير أعمارنا خواتمها ؛ وخير أيامنا يوم نلقاك ، وقد رضيت عنا وأرضيتنا .اللهم آمين .,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Serial number not found; Arabic date not found
الملخص شرح كتاب التوحيد,جامع الورود,Sunday,Aqeedah,صالح الفوزان,7,2026-01-11,Not Available,كتاب الله، وسنة رسول الله صلى الله عليه وسلم على فهم السلف الصالح، وأن يأخذ بأقوال العلماء السلفيين الراسخين في العلم والحكمة في جميع مسائل الدين أصوله وفروعه، واجبه ومستحبه، حلاله وحرامه، محكمه ومتشابهه؛ ليسلم من مضلات الفتن، الظاهرة منها والباطنة، مع الإكثار من دعاء الله أن يريه الحق حقا؛ ويرزقه اتباعه، وأن يريه الباطل باطلاً؛ ويرزقه اجتنابه، وألا يجعله ملتبساً عليه فيضل؛ هذا والله أعلم، وصلى الله وسلم على نبينا محمد بن عبد الله وآله، وصحبه، وسلم عليهم تسليماً مزيداً»اهـ,Not Available,Series,Not Available,٢٢ / ٧ / ١٤٤٧,Not Available,Type unclear - defaulted to Series; Serial number not found
Unknown,جامع الورود,Sunday,Other,أحمد النجمي,1,2025-10-26,الأول,Not Available,Mp3 Editor_251026014231.mp3,Series,Not Available,٢٦ / ٤ / ١٤٤٧,48:16,Series name not clearly identified
Unknown,جامع الورود,Sunday,Other,أحمد النجمي,2,2025-10-26,Not Available,Not Available,AUD-20251026-WA0003.m4a,Khutba,وقفات مع السيرة النبوية(٣),الجمعة ٥/ ٢ / ١٤٤٧,10:45,none
Unknown,جامع الورود,Sunday,Other,أحمد النجمي,3,2025-10-26,الثاني,Not Available,Mp3 Editor_251026073039.mp3,Series,Not Available,٣ / ٥ / ١٤٤٧,1:08,Series name not clearly identified
Unknown,جامع الورود,Sunday,Other,أحمد النجمي,4,2025-12-28,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,Sunday,Other,أحمد النجمي,5,2026-01-18,Not Available,Not Available,ÇáÔíÎ ÍÓä Èä ãÍãÏ ãäÕæÑ ÏÛÑíÑí – ÝÖá ÇáÚáã æãäÒáÉ Ãåáå,Series,Not Available,Not Available,32:54,Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,Sunday,Other,أحمد النجمي,6,2026-01-18,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,1,2025-12-13,الثامن,باب الربا,AUD-20250901-WA0001.m4a,Series,Not Available,Not Available,27:52,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,2,2025-12-13,التاسع,باب الربا,AUD-20251213-WA0002.m4a,Series,Not Available,Not Available,31:29,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,3,2025-12-13,الرابع والعشرون,باب الربا,AUD-20251213-WA0003.m4a,Series,Not Available,Not Available,14:21,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,4,2025-12-13,الخامس والعشرون,باب الربا,AUD-20251213-WA0005.m4a,Series,Not Available,Not Available,10:30,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,5,2025-12-13,الثامن والعشرون,باب الربا,AUD-20251213-WA0006.m4a,Series,Not Available,Not Available,16:12,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,6,2025-12-13,التاسع والعشرون,باب الهبة والعمرى والركبة,AUD-20251213-WA0004.m4a,Series,Not Available,Not Available,41:02,Arabic date not found
الملخص الفقهي,جامع الورود,Friday,Fiqh,صالح الفوزان,1,2025-10-10,الثاني,Not Available,Mp3 Editor_251010051137.mp3,Series,Not Available,١٨ / ٣ / ١٤٤٧,10:03,none
الملخص الفقهي,جامع الورود,Friday,Fiqh,صالح الفوزان,2,2025-10-10,الثالث,Not Available,4_5999204516551989829.mp3,Series,Not Available,٢٣ / ٣ / ١٤٤٧,12:42,none
الملخص الفقهي,جامع الورود,Friday,Fiqh,صالح الفوزان,3,2025-10-10,الرابع,Not Available,Mp3 Editor_251010204311.mp3,Series,Not Available,٢٥ / ٣ / ١٤٤٧,11:58,none
الملخص الفقهي,جامع الورود,Friday,Fiqh,صالح الفوزان,4,2025-10-17,التاسع,Not Available,Mp3 Editor_251017121802.mp3,Series,Not Available,١٦ / ٤ / ١٤٤٧,08:25,none
