SeriesName,Location,DaysTaught,ClassesPerWeek,Category,OriginalAuthor,LessonSeq,RecordingDate,DayOfWeek,Serial,SubTopic,TelegramFileName,Type,Topic,DateInArabic,ClipLength,doubtsStatus
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,48,2026-01-18,Sunday,Not Available,Not Available,ÇáÔíÎ ÍÓä Èä ãÍãÏ ãäÕæÑ ÏÛÑíÑí – ÝÖá ÇáÚáã æãäÒáÉ Ãåáå,Series,Not Available,Not Available,32:54,Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,49,2026-01-18,Sunday,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,1,2025-10-07,Tuesday,Not Available,كتاب التوحيد,Not Available,Series,Not Available,Not Available,Not Available,Type unclear - defaulted to Series; Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,2,2025-10-07,Tuesday,الثاني والتسعون,كتاب النكاح (١),4_5992475423785622177 (1).mp3,Series,Not Available,Not Available,13:34,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,3,2025-10-09,Thursday,الثالث والتسعون,كتاب النكاح (٢),4_5996911497937164392.mp3,Series,Not Available,Not Available,17:24,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,4,2025-10-10,Friday,الرابع والتسعون,كتاب النكاح (٣),Mp3 Editor_251010210205.mp3,Series,Not Available,Not Available,24:59,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,5,2025-10-13,Monday,الأول من أول,كتاب الطهارة,Mp3 Editor_251013152911.mp3,Series,Not Available,٢٨ / ٣ / ١٤٤٧,46:46,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,6,2025-10-14,Tuesday,الثاني,Not Available,Mp3 Editor_251013232021.mp3,Series,Not Available,٢٩ / ٣ / ١٤٤٧,36:30,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,7,2025-10-15,Wednesday,الثالث,Not Available,Mp3 Editor_251015085009.mp3,Series,Not Available,٦ / ٤ / ١٤٤٧,42:13,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,8,2025-10-16,Thursday,الخامس والتسعون,كتاب النكاح (٤),Mp3 Editor_251015221637.mp3,Series,Not Available,Not Available,19:26,Arabic date not found
