TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
Not Available,Unknown,Not Available,Not Available,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-07)-
✏️",Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),الأول (-01)-.,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,29 رجب 1437,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الطهارة,الأول (-01)-.,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(10)-
✏️",Not Available,جامع الورود,حسن بن محمد منصور الدغريري,20 شوال 1437,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الطهارة : من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام.,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,05 ذوالقعدة 1437,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(012)-
✏️",Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الطهارة,الأول (-01)-.,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,Not Available,"(024)-
✏️",Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,Not Available,025 *,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,Not Available,026 *,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,Not Available,027 *,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,Not Available,التاسع والعشرون,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Not Available,Unknown,Not Available,Not Available,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),الأول (-01)-.,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,29 رجب 1437,23.10.2025,Thursday,Not Available,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,Not Available,﴿,(33),Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,38:42,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,Not Available,﴿,(34),Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,22:36,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
التعليق_على_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_zos88VZk4dU.m4a,Unknown,Not Available,Not Available,﴿,(37),Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,27:12,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,Not Available,﴿,(35),Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,45:14,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,Not Available,﴿,(36),Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,26:21,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,Not Available,﴿,(37),Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,26:21,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,Not Available,﴿,(38),Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,27:47,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,Not Available,﴿,(39),Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,29:10,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Unknown,Not Available,Not Available,﴿,(40),Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,33:18,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
Mp3 Editor_251026012445.mp3,Unknown,Not Available,Not Available,Not Available,الخامس  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,Sunday,1:08,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
Mp3 Editor_251026014231.mp3,Unknown,Not Available,Not Available,Not Available,الأول  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,Sunday,48:16,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
Mp3 Editor_251026014901.mp3,Unknown,Not Available,Not Available,Not Available,السابع في,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,Sunday,05:47,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
Mp3 Editor_251026020733.mp3,Unknown,Not Available,Not Available,Not Available,الأول  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,Sunday,51:42,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
