TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,doubtsStatus
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,27:47,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,29:10,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,كتاب ﴿,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,33:18,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Mp3 Editor_251026012445.mp3,Series,Not Available,شرح السنة,Not Available,الخامس,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٦ / ٤ / ١٤٤٧,26.10.2025,1:08,Aqeedah,none
Mp3 Editor_251026014231.mp3,Series,Not Available,Not Available,Not Available,الأول,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٦ / ٤ / ١٤٤٧,26.10.2025,48:16,Other,Series name not clearly identified
Mp3 Editor_251026014901.mp3,Series,Not Available,التفسير الميسر,"سورة عبس ""٢""",السابع,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,٢٦ / ٤ / ١٤٤٧,26.10.2025,05:47,Other,none
Mp3 Editor_251026020733.mp3,Series,Not Available,شرح السنة,Not Available,الأول,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢١ / ٣ / ١٤٤٧,26.10.2025,51:42,Aqeedah,none
Mp3 Editor_251026021742.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثاني عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٨ / ٤ / ١٤٤٧,26.10.2025,11:02,Fiqh,none
Mp3 Editor_251026022439.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الثالث عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,09:45,Aqeedah,Arabic date not found
AUD-20251026-WA0007.m4a,Series,Not Available,الأفنان الندية,كتاب البيوع,الثامن عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,09:33,Fiqh,Arabic date not found
AUD-20251021-WA0054.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,الثامن,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,38:24,Aqeedah,Arabic date not found
Mp3 Editor_251026023758.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثالث عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٣٠ / ٤ / ١٤٤٧,26.10.2025,10:56,Fiqh,none
AUD-20251022-WA0024.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب النكاح: باب الصداق .,السابع,أحمد بن يحيى النجمي,Online,حسن بن محمد منصور الدغريري,Not Available,26.10.2025,20:30,Hadeeth,Arabic date not found
AUD-20251026-WA0003.m4a,Khutba,وقفات مع السيرة النبوية(٣),Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ٥/ ٢ / ١٤٤٧,26.10.2025,10:45,Other,none
