SequenceInSeries,SeriesName,Location,DayOfWeek,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,OriginalAuthor,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,MatchedBy,doubtsStatus
64,Unknown,جامع الورود,Sunday,2025-11-30,Mp3 Editor_251129225724.mp3,Unknown,Not Available,Not Available,السابع  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,58:20,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
65,Unknown,جامع الورود,Sunday,2025-11-30,AUD-20251129-WA0017.m4a,Unknown,Not Available,Not Available,الأول بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,42:51,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
66,Unknown,جامع الورود,Sunday,2025-11-30,Mp3 Editor_251129231102.mp3,Unknown,Not Available,Not Available,التاسع في,Not Available,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,06:05,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
67,Unknown,جامع الورود,Sunday,2025-11-30,AUD-20251130-WA0012.m4a,Unknown,Not Available,Not Available,الحادي عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,30.11.2025,05:35,Other,Not Matched,"Could not match to schedule (Day: Sunday, Location: جامع الورود)"
68,Unknown,جامع الورود,Tuesday,2025-12-02,Mp3 Editor_251201224432.mp3,Unknown,Not Available,Not Available,الثامن عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,11:25,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
69,Unknown,جامع الورود,Tuesday,2025-12-02,AUD-20251201-WA0005.mp3,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٢٢ / ٥ / ١٤٤٧,02.12.2025,08:17,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
70,Unknown,جامع الورود,Tuesday,2025-12-02,Mp3 Editor_251202153513.mp3,Unknown,Not Available,Not Available,التاسع ونهاية,Not Available,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,55:49,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
71,Unknown,جامع الورود,Tuesday,2025-12-02,AUD-20251202-WA0001.m4a,Unknown,Not Available,Not Available,الثاني بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,34:17,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
72,Unknown,جامع الورود,Tuesday,2025-12-02,AUD-20251202-WA0002.m4a,Unknown,Not Available,Not Available,الثالث بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,59:22,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
73,Unknown,جامع الورود,Tuesday,2025-12-02,Mp3 Editor_251202160725.mp3,Unknown,Not Available,Not Available,الثامن  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,52:58,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
74,Unknown,جامع الورود,Tuesday,2025-12-02,Mp3 Editor_251202161629.mp3,Unknown,Not Available,Not Available,الرابع  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,1:03,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
75,Unknown,جامع الورود,Tuesday,2025-12-02,Mp3 Editor_251202163202.mp3,Unknown,Not Available,Not Available,العاشر في,Not Available,حسن بن محمد منصور الدغريري,Not Available,02.12.2025,05:47,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
76,Unknown,جامع الورود,Monday,2025-12-08,Ringtone_AUD-20251207-WA0004.mp3,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,10:07,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
77,Unknown,جامع الورود,Monday,2025-12-08,AUD-20251208-WA0001.m4a,Unknown,Not Available,Not Available,الرابع بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,32:50,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
78,Unknown,جامع الورود,Monday,2025-12-08,AUD-20251208-WA0004.m4a,Unknown,Not Available,Not Available,الخامس  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,34:44,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
